"Wavelength (nm)"	"Reflectance (%)"
187.99	64.0108
188.75	65.0163
189.51	64.5769
190.27	63.0874
191.02	59.9295
191.78	56.3967
192.54	53.368
193.3	50.3579
194.06	48.8206
194.82	49.8522
195.58	52.6627
196.33	56.5095
197.09	60.3002
197.85	63.7373
198.61	66.3538
199.37	68.3822
200.12	69.2514
200.88	69.1981
201.64	68.0188
202.39	66.3877
203.15	63.477
203.91	60.3973
204.67	56.4132
205.42	52.9419
206.18	49.8111
206.94	48.2022
207.69	48.2648
208.45	49.9512
209.21	52.7862
209.96	56.483
210.72	59.7654
211.48	62.7305
212.23	65.0328
212.99	66.9021
213.74	67.8707
214.5	68.2815
215.25	67.9409
216.01	67.0378
216.77	65.5012
217.52	63.0089
218.28	60.317
219.03	57.2987
219.79	53.9584
220.54	50.8926
221.3	48.4176
222.05	46.9604
222.81	46.4948
223.56	47.6535
224.32	49.5309
225.07	52.3294
225.82	55.156
226.58	58.0481
227.33	60.5746
228.09	62.9832
228.84	64.5358
229.59	65.8854
230.35	66.6218
231.1	66.8518
231.86	66.6567
232.61	65.9623
233.36	64.5935
234.12	63.1229
234.87	61.1402
235.62	58.7314
236.38	56.0747
237.13	53.1831
237.88	50.257
238.63	47.4154
239.39	44.9381
240.14	42.9135
240.89	42.0352
241.64	41.8794
242.4	42.7016
243.15	44.5861
243.9	46.9656
244.65	49.8732
245.4	53.1127
246.16	56.2111
246.91	58.9652
247.66	61.6295
248.41	63.8752
249.16	65.7663
249.91	67.1609
250.67	68.1328
251.42	69.0115
252.17	69.423
252.92	69.2653
253.67	69.044
254.42	68.4764
255.17	67.5378
255.92	66.4624
256.67	65.0605
257.42	63.6614
258.17	61.8589
258.92	59.9934
259.67	58.0508
260.42	56.0693
261.17	54.2405
261.92	52.6188
262.67	51.2763
263.42	50.4245
264.17	50.374
264.92	50.8541
265.67	51.8495
266.42	53.5045
267.17	55.3881
267.92	57.5157
268.67	59.8581
269.42	61.9866
270.17	64.0223
270.91	66.0515
271.66	67.7871
272.41	69.3076
273.16	70.6048
273.91	71.495
274.66	72.3633
275.41	72.7952
276.15	73.0752
276.9	73.248
277.65	73.0011
278.4	72.9033
279.15	72.3359
279.89	71.5792
280.64	70.8223
281.39	69.5792
282.14	68.2948
282.88	66.9962
283.63	65.284
284.38	63.5939
285.12	61.5128
285.87	59.3593
286.62	56.8956
287.36	54.5896
288.11	52.0974
288.86	49.5124
289.6	47.2021
290.35	45.043
291.1	43.4351
291.84	42.0691
292.59	41.2638
293.34	40.9398
294.08	41.0197
294.83	41.4505
295.57	42.2077
296.32	43.3277
297.07	44.643
297.81	45.9581
298.56	47.3486
299.3	48.7663
300.05	50.1038
300.79	51.5021
301.54	52.6893
302.28	53.9056
303.03	54.8251
303.77	55.8324
304.52	56.4976
305.26	57.2031
306.01	57.6938
306.75	58.0114
307.49	58.3063
308.24	58.4351
308.98	58.375
309.73	58.2529
310.47	57.9531
311.22	57.6754
311.96	57.0751
312.7	56.3475
313.45	55.5766
314.19	54.6077
314.93	53.7358
315.68	52.5487
316.42	51.275
317.16	49.9804
317.91	48.3847
318.65	46.8274
319.39	45.1309
320.14	43.4054
320.88	41.5536
321.62	39.7982
322.36	38.0207
323.11	36.258
323.85	34.6294
324.59	33.0712
325.33	31.6239
326.08	30.4045
326.82	29.4239
327.56	28.648
328.3	28.1539
329.04	27.9573
329.79	27.9979
330.53	28.3462
331.27	29.0084
332.01	29.7722
332.75	30.8032
333.49	31.9313
334.23	33.276
334.98	34.6865
335.72	36.1539
336.46	37.7315
337.2	39.2325
337.94	40.7728
338.68	42.2222
339.42	43.6606
340.16	45.0185
340.9	46.3485
341.64	47.5872
342.38	48.7522
343.12	49.7008
343.86	50.713
344.6	51.7295
345.34	52.5634
346.08	53.2308
346.82	53.8474
347.56	54.3321
348.3	54.8422
349.04	55.2591
349.78	55.6466
350.52	55.8607
351.26	55.9168
352	56.0604
352.74	56.1455
353.48	56.1844
354.22	56.1063
354.95	55.9413
355.69	55.7304
356.43	55.4291
357.17	55.0622
357.91	54.777
358.65	54.3841
359.39	53.8008
360.12	53.2227
360.86	52.7023
361.6	52.0767
362.34	51.5036
363.08	50.8525
363.81	49.9993
364.55	49.048
365.29	47.8777
366.03	46.5326
366.76	45.1433
367.5	43.601
368.24	42.0147
368.98	40.4363
369.71	38.8622
370.45	37.2821
371.19	35.6441
371.93	34.022
372.66	32.5602
373.4	31.1933
374.14	30.098
374.87	29.2464
375.61	28.4662
376.34	27.837
377.08	27.4326
377.82	27.1412
378.55	27.0821
379.29	27.273
380.03	27.5601
380.76	27.9314
381.5	28.4379
382.23	29.087
382.97	29.8494
383.7	30.6107
384.44	31.4457
385.18	32.3368
385.91	33.238
386.65	34.2495
387.38	35.1604
388.12	36.0037
388.85	36.8587
389.59	37.705
390.32	38.5852
391.06	39.4563
391.79	40.2537
392.53	40.9376
393.26	41.5933
393.99	42.2472
394.73	42.8816
395.46	43.4541
396.2	43.9597
396.93	44.4588
397.67	44.871
398.4	45.2759
399.13	45.6562
399.87	45.8902
400.6	46.1191
401.33	46.3392
402.07	46.5221
402.8	46.6119
403.53	46.6002
404.27	46.6049
405	46.5852
405.73	46.5252
406.47	46.4378
407.2	46.2696
407.93	46.0729
408.67	45.8467
409.4	45.5645
410.13	45.2493
410.86	44.871
411.6	44.4588
412.33	43.9976
413.06	43.4934
413.79	42.9253
414.53	42.3234
415.26	41.7107
415.99	41.0448
416.72	40.3395
417.45	39.6358
418.18	38.8816
418.92	38.0697
419.65	37.2593
420.38	36.4171
421.11	35.5262
421.84	34.6312
422.57	33.7189
423.3	32.78
424.04	31.8267
424.77	30.8578
425.5	29.87
426.23	28.863
426.96	27.8498
427.69	26.8495
428.42	25.8498
429.15	24.8707
429.88	23.923
430.61	23.0059
431.34	22.0887
432.07	21.164
432.8	20.2798
433.53	19.4641
434.26	18.6728
434.99	17.9384
435.72	17.2738
436.45	16.6466
437.18	16.0803
437.91	15.605
438.64	15.2081
439.37	14.8753
440.1	14.6009
440.83	14.3915
441.56	14.2491
442.29	14.1726
443.02	14.1788
443.74	14.2501
444.47	14.3631
445.2	14.5476
445.93	14.8206
446.66	15.1551
447.39	15.5494
448.12	15.9779
448.85	16.4442
449.57	16.9636
450.3	17.528
451.03	18.1132
451.76	18.7346
452.49	19.3796
453.21	20.0437
453.94	20.7388
454.67	21.4582
455.4	22.1647
456.12	22.8835
456.85	23.6129
457.58	24.3403
458.31	25.0742
459.03	25.8242
459.76	26.5653
460.49	27.2594
461.22	27.9311
461.94	28.5746
462.67	29.2258
463.4	29.8764
464.12	30.5222
464.85	31.1266
465.58	31.7224
466.3	32.3079
467.03	32.8808
467.76	33.4164
468.48	33.9242
469.21	34.4205
469.93	34.9163
470.66	35.366
471.39	35.762
472.11	36.1285
472.84	36.5035
473.56	36.8353
474.29	37.1503
475.01	37.4358
475.74	37.7095
476.47	37.976
477.19	38.2202
477.92	38.4222
478.64	38.5737
479.37	38.7155
480.09	38.8418
480.82	38.9507
481.54	39.0521
482.27	39.1415
482.99	39.2058
483.71	39.212
484.44	39.2069
485.16	39.1609
485.89	39.1298
486.61	39.0371
487.34	38.9443
488.06	38.8062
488.78	38.6617
489.51	38.5045
490.23	38.3301
490.96	38.1511
491.68	37.9415
492.4	37.728
493.13	37.4757
493.85	37.205
494.57	36.9144
495.3	36.5914
496.02	36.2529
496.74	35.8757
497.47	35.5024
498.19	35.1072
498.91	34.7213
499.64	34.3263
500.36	33.9267
501.08	33.4921
501.8	33.0479
502.53	32.5744
503.25	32.0829
503.97	31.5446
504.69	30.9874
505.42	30.4313
506.14	29.8662
506.86	29.2984
507.58	28.7401
508.31	28.1793
509.03	27.6122
509.75	27.0069
510.47	26.3962
511.19	25.7885
511.91	25.2132
512.64	24.6294
513.36	24.0332
514.08	23.4136
514.8	22.8031
515.52	22.1877
516.24	21.5675
516.96	20.9427
517.68	20.337
518.4	19.7252
519.13	19.1136
519.85	18.511
520.57	17.9341
521.29	17.381
522.01	16.8346
522.73	16.3023
523.45	15.7864
524.17	15.2768
524.89	14.7813
525.61	14.2967
526.33	13.8419
527.05	13.4058
527.77	12.9919
528.49	12.6025
529.21	12.2411
529.93	11.9046
530.65	11.5952
531.37	11.3042
532.09	11.0437
532.81	10.8074
533.53	10.5993
534.25	10.418
534.96	10.2638
535.68	10.1426
536.4	10.0539
537.12	9.9908
537.84	9.9559
538.56	9.9485
539.28	9.9709
540	10.0261
540.72	10.1082
541.43	10.2202
542.15	10.353
542.87	10.5029
543.59	10.6804
544.31	10.8759
545.02	11.0982
545.74	11.3407
546.46	11.6057
547.18	11.8906
547.9	12.1862
548.61	12.5006
549.33	12.8351
550.05	13.1993
550.77	13.5756
551.48	13.963
552.2	14.3574
552.92	14.7572
553.64	15.171
554.35	15.5872
555.07	16.0109
555.79	16.4437
556.5	16.8876
557.22	17.3501
557.94	17.823
558.65	18.3017
559.37	18.7779
560.09	19.2474
560.8	19.7145
561.52	20.1789
562.24	20.6369
562.95	21.0989
563.67	21.5573
564.38	22.0199
565.1	22.4794
565.82	22.9327
566.53	23.3865
567.25	23.8308
567.96	24.263
568.68	24.6855
569.39	25.0959
570.11	25.5018
570.83	25.8965
571.54	26.2853
572.26	26.6738
572.97	27.0621
573.69	27.4544
574.4	27.8405
575.12	28.2162
575.83	28.5779
576.55	28.9191
577.26	29.2506
577.98	29.5781
578.69	29.9109
579.4	30.2499
580.12	30.5771
580.83	30.8828
581.55	31.1672
582.26	31.4328
582.98	31.6869
583.69	31.9377
584.4	32.1833
585.12	32.4234
585.83	32.662
586.54	32.8977
587.26	33.1238
587.97	33.3341
588.69	33.5271
589.4	33.7051
590.11	33.8803
590.83	34.0506
591.54	34.2059
592.25	34.3521
592.97	34.4846
593.68	34.6018
594.39	34.7166
595.1	34.8271
595.82	34.9257
596.53	35.0135
597.24	35.0908
597.95	35.1534
598.67	35.2069
599.38	35.2579
600.09	35.3044
600.8	35.3411
601.52	35.3594
602.23	35.3623
602.94	35.3559
603.65	35.34
604.36	35.313
605.08	35.2762
605.79	35.2254
606.5	35.1703
607.21	35.1188
607.92	35.071
608.63	35.0239
609.34	34.9757
610.06	34.9136
610.77	34.8394
611.48	34.7558
612.19	34.6608
612.9	34.5518
613.61	34.4301
614.32	34.3065
615.03	34.1806
615.74	34.0467
616.45	33.9084
617.16	33.7642
617.87	33.6051
618.59	33.4363
619.3	33.2638
620.01	33.0884
620.72	32.9111
621.43	32.7216
622.14	32.5278
622.85	32.3235
623.56	32.1057
624.27	31.871
624.98	31.6279
625.68	31.3697
626.39	31.1109
627.1	30.8582
627.81	30.6159
628.52	30.3727
629.23	30.1248
629.94	29.8615
630.65	29.5801
631.36	29.29
632.07	28.9964
632.78	28.6965
633.49	28.3909
634.19	28.0798
634.9	27.7588
635.61	27.4344
636.32	27.1057
637.03	26.7781
637.74	26.4452
638.45	26.1081
639.15	25.7687
639.86	25.4317
640.57	25.0921
641.28	24.7557
641.99	24.4149
642.69	24.068
643.4	23.7171
644.11	23.3585
644.82	23.0003
645.52	22.6432
646.23	22.2822
646.94	21.9209
647.65	21.563
648.35	21.2066
649.06	20.8559
649.77	20.5068
650.48	20.1538
651.18	19.8054
651.89	19.4447
652.6	19.0707
653.3	18.6922
654.01	18.314
654.72	17.949
655.42	17.6097
656.13	17.2902
656.84	16.9821
657.54	16.6818
658.25	16.3679
658.95	16.0431
659.66	15.7126
660.37	15.3838
661.07	15.0605
661.78	14.7411
662.48	14.4255
663.19	14.1109
663.89	13.7994
664.6	13.4917
665.31	13.1904
666.01	12.8899
666.72	12.5942
667.42	12.3056
668.13	12.0228
668.83	11.7478
669.54	11.4823
670.24	11.2283
670.95	10.9863
671.65	10.7577
672.36	10.5416
673.06	10.3325
673.77	10.1344
674.47	9.943
675.17	9.7581
675.88	9.5806
676.58	9.4159
677.29	9.26
677.99	9.1116
678.7	8.969
679.4	8.8323
680.1	8.6989
680.81	8.5714
681.51	8.4541
682.22	8.3483
682.92	8.2518
683.62	8.1679
684.33	8.0972
685.03	8.0362
685.73	7.9862
686.44	7.9475
687.14	7.9178
687.84	7.8938
688.55	7.8768
689.25	7.8671
689.95	7.8619
690.65	7.8632
691.36	7.8751
692.06	7.8986
692.76	7.9309
693.46	7.9742
694.17	8.0296
694.87	8.0959
695.57	8.1716
696.27	8.2574
696.98	8.3524
697.68	8.4549
698.38	8.5641
699.08	8.6789
699.78	8.7976
700.49	8.9212
701.19	9.0518
701.89	9.1909
702.59	9.3367
703.29	9.4903
703.99	9.6531
704.69	9.8251
705.4	10.0048
706.1	10.1914
706.8	10.3866
707.5	10.5868
708.2	10.7876
708.9	10.9903
709.6	11.1954
710.3	11.4004
711	11.6051
711.7	11.8117
712.4	12.0214
713.1	12.2336
713.8	12.4517
714.51	12.6802
715.21	12.9205
715.91	13.1708
716.61	13.43
717.31	13.6908
718.01	13.9464
718.71	14.1961
719.41	14.439
720.1	14.6772
720.8	14.9123
721.5	15.1508
722.2	15.3969
722.9	15.6479
723.6	15.906
724.3	16.1673
725	16.4296
725.7	16.6938
726.4	16.9609
727.1	17.2282
727.8	17.4905
728.5	17.7518
729.19	18.0179
729.89	18.2889
730.59	18.5625
731.29	18.8352
731.99	19.1111
732.69	19.3845
733.39	19.6534
734.08	19.9144
734.78	20.1665
735.48	20.4092
736.18	20.6482
736.88	20.8921
737.57	21.1429
738.27	21.3943
738.97	21.6447
739.67	21.8944
740.36	22.1486
741.06	22.4022
741.76	22.6508
742.46	22.9016
743.15	23.1556
743.85	23.407
744.55	23.6532
745.24	23.8913
745.94	24.1178
746.64	24.3312
747.34	24.5323
748.03	24.7319
748.73	24.9388
749.42	25.1542
750.12	25.3736
750.82	25.6001
751.51	25.8314
752.21	26.057
752.91	26.2733
753.6	26.4751
754.3	26.6623
754.99	26.848
755.69	27.0392
756.39	27.233
757.08	27.4308
757.78	27.6266
758.47	27.825
759.17	28.0161
759.86	28.2003
760.56	28.3701
761.26	28.5292
761.95	28.6871
762.65	28.8457
763.34	29.0047
764.04	29.1649
764.73	29.3206
765.43	29.4717
766.12	29.6215
766.81	29.7607
767.51	29.8936
768.2	30.0191
768.9	30.1394
769.59	30.2563
770.29	30.3692
770.98	30.4845
771.68	30.6066
772.37	30.7301
773.06	30.8559
773.76	30.9855
774.45	31.1159
775.15	31.2527
